利用日,顧客番号,用途,利用金額
2021-01-01,23748,宿泊施設,59536
2021-01-01,22805,航空会社,54756
2021-01-01,23001,ETC,20164
2021-01-01,23001,宿泊施設,23409
2021-01-01,23294,宿泊施設,67600
2021-01-01,24134,通信販売,57121
2021-01-01,27772,ETC,1764
2021-01-01,26255,飲食店,11881
2021-01-01,23935,旅行代理店,12769
2021-01-01,27167,航空会社,20736
2021-01-01,21744,宿泊施設,102400
2021-01-01,26933,航空会社,26569
2021-01-01,21011,宿泊施設,5776
2021-01-01,26687,百貨店,64009
2021-01-01,24967,ETC,2704
2021-01-01,24967,宿泊施設,68121
2021-01-01,23875,旅行代理店,18225
2021-01-01,26331,宿泊施設,6400
2021-01-01,27400,通信販売,14400
2021-01-01,24526,宿泊施設,96100
2021-01-01,28593,航空会社,10609
2021-01-01,27197,旅行代理店,59536
2021-01-01,26906,宿泊施設,1089
2021-01-01,25831,航空会社,5041
2021-01-01,27729,宿泊施設,9801
2021-01-01,24408,通信販売,2116
2021-01-01,21081,飲食店,44944
2021-01-01,28075,旅行代理店,34969
2021-01-01,21617,旅行代理店,99856
2021-01-01,25820,ETC,85264
2021-01-01,25820,宿泊施設,38416
2021-01-01,21032,宿泊施設,21904
2021-01-01,22708,航空会社,4489
2021-01-01,23263,ETC,2500
2021-01-01,24248,航空会社,23409
2021-01-01,26395,ETC,5329
2021-01-01,26395,宿泊施設,29929
2021-01-01,21545,百貨店,15625
2021-01-01,25404,百貨店,7569
2021-01-01,25778,宿泊施設,11025
2021-01-01,26223,宿泊施設,44521
2021-01-01,20990,通信販売,21609
2021-01-01,23097,百貨店,79524
2021-01-01,27057,飲食店,36864
2021-01-01,27057,百貨店,10816
2021-01-01,26678,飲食店,13924
2021-01-01,26678,百貨店,78961
2021-01-01,27302,ETC,57600
2021-01-01,27302,宿泊施設,9801
2021-01-01,23198,航空会社,106929
2021-01-01,27846,航空会社,18496
2021-01-01,26255,宿泊施設,95481
2021-01-01,25168,旅行代理店,11025
2021-01-01,24569,百貨店,37249
2021-01-01,23089,航空会社,103041
2021-01-01,28981,航空会社,66564
2021-01-01,28537,宿泊施設,81225
2021-01-01,26062,航空会社,33856
2021-01-01,22426,宿泊施設,26896
2021-01-01,23710,飲食店,70225
2021-01-01,23638,宿泊施設,15876
2021-01-01,25833,航空会社,2025
2021-01-01,28328,飲食店,27556
2021-01-01,24167,宿泊施設,2401
2021-01-01,26932,宿泊施設,30976
2021-01-01,26569,通信販売,16641
2021-01-01,20394,通信販売,3249
2021-01-01,23618,飲食店,33124
2021-01-01,23618,百貨店,34969
2021-01-01,26696,飲食店,18769
2021-01-01,22457,宿泊施設,23716
2021-01-01,22779,航空会社,4624
2021-01-01,21327,飲食店,46656
2021-01-01,21327,百貨店,36864
