利用日,顧客番号,用途,利用金額
2020-01-01,15937,航空会社,11236
2020-01-01,10520,ETC,20736
2020-01-01,10520,宿泊施設,19881
2020-01-01,12712,旅行代理店,68121
2020-01-01,17954,旅行代理店,16384
2020-01-01,15578,旅行代理店,47089
2020-01-01,15512,航空会社,56169
2020-01-01,12441,旅行代理店,4356
2020-01-01,18502,旅行代理店,33489
2020-01-01,13931,航空会社,66049
2020-01-01,14180,通信販売,21904
2020-01-01,13682,通信販売,4096
2020-01-01,17036,ETC,80089
2020-01-01,10552,飲食店,69169
2020-01-01,10552,百貨店,21609
2020-01-01,14402,飲食店,12100
2020-01-01,14402,百貨店,51076
2020-01-01,11575,百貨店,108241
2020-01-01,14018,飲食店,13225
2020-01-01,14018,百貨店,78400
2020-01-01,17647,宿泊施設,66049
2020-01-01,13219,航空会社,105625
2020-01-01,12010,ETC,24025
2020-01-01,12010,宿泊施設,8281
2020-01-01,18694,ETC,98596
2020-01-01,18694,宿泊施設,66564
2020-01-01,15443,飲食店,21025
2020-01-01,15443,百貨店,38809
2020-01-01,15825,旅行代理店,28900
2020-01-01,14885,旅行代理店,33856
2020-01-01,17769,航空会社,2704
2020-01-01,14565,飲食店,47961
2020-01-01,12613,通信販売,5184
2020-01-01,17132,ETC,26896
2020-01-01,16659,百貨店,62001
2020-01-01,15362,宿泊施設,43681
2020-01-01,12644,ETC,95481
2020-01-01,17243,旅行代理店,2209
2020-01-01,15733,ETC,61504
2020-01-01,15733,宿泊施設,47961
2020-01-01,15604,ETC,39204
2020-01-01,15604,宿泊施設,1681
2020-01-01,18875,飲食店,58081
2020-01-01,14044,通信販売,52441
2020-01-01,16777,宿泊施設,87616
2020-01-01,17135,宿泊施設,45796
2020-01-01,12617,旅行代理店,67600
2020-01-01,14924,ETC,22801
2020-01-01,14924,宿泊施設,19600
2020-01-01,17397,ETC,42025
2020-01-01,17397,宿泊施設,88209
2020-01-01,15627,航空会社,13689
2020-01-01,16743,旅行代理店,28900
2020-01-01,15489,飲食店,3721
2020-01-01,17251,旅行代理店,8836
2020-01-01,11461,飲食店,40804
2020-01-01,11461,百貨店,6889
2020-01-01,10002,飲食店,91204
2020-01-01,10002,百貨店,93636
2020-01-01,13662,飲食店,1600
2020-01-01,13662,百貨店,21609
2020-01-01,17868,百貨店,7056
2020-01-01,10965,航空会社,11236
2020-01-01,16042,ETC,108900
2020-01-01,16042,宿泊施設,35721
2020-01-01,10587,通信販売,27889
2020-01-01,12958,百貨店,54756
2020-01-01,17186,飲食店,3249
2020-01-01,17186,百貨店,76176
2020-01-01,11331,航空会社,104329
2020-01-01,13647,宿泊施設,62001
2020-01-01,11537,飲食店,15129
2020-01-01,14963,飲食店,28900
2020-01-01,14963,百貨店,55225
2020-01-01,11185,宿泊施設,5184
2020-01-01,14146,旅行代理店,48400
2020-01-01,10355,百貨店,17424
2020-01-01,13095,飲食店,8649
2020-01-01,13095,百貨店,36864
2020-01-01,11061,航空会社,44100
2020-01-01,16224,飲食店,15376
2020-01-01,14002,旅行代理店,35721
2020-01-01,15921,百貨店,73984
2020-01-01,16022,航空会社,13456
2020-01-01,16785,飲食店,41209
2020-01-01,16785,百貨店,2304
2020-01-01,15074,百貨店,12100
2020-01-01,15605,航空会社,36100
2020-01-01,12635,航空会社,4900
2020-01-01,11686,飲食店,52900
2020-01-01,11686,百貨店,74529
2020-01-01,10069,旅行代理店,3600
2020-01-01,17912,飲食店,5476
2020-01-01,17912,百貨店,3136
2020-01-01,18905,ETC,2025
2020-01-01,18905,宿泊施設,13689
2020-01-01,17995,ETC,13225
2020-01-01,17995,宿泊施設,7744
2020-01-01,11320,航空会社,27225
2020-01-01,15556,ETC,29584
2020-01-01,15556,宿泊施設,53361
2020-01-01,15845,ETC,31684
2020-01-01,15845,宿泊施設,93025
2020-01-01,12795,旅行代理店,7056
2020-01-01,14007,百貨店,66564
2020-01-01,12878,百貨店,13456
2020-01-01,14903,宿泊施設,39601
2020-01-01,15367,飲食店,106929
2020-01-01,16627,航空会社,84100
2020-01-01,17536,宿泊施設,71824
2020-01-01,10356,百貨店,14884
2020-01-01,16955,航空会社,20164
2020-01-01,14013,旅行代理店,65536
2020-01-01,18279,百貨店,96721
2020-01-01,14125,宿泊施設,37636
2020-01-01,10779,百貨店,80656
2020-01-01,13688,百貨店,12996
2020-01-01,18151,ETC,25600
2020-01-01,15739,飲食店,2601
2020-01-01,15739,百貨店,36864
2020-01-01,16790,宿泊施設,61009
2020-01-01,10277,百貨店,2401
2020-01-01,12733,ETC,20736
2020-01-01,12733,宿泊施設,90601
2020-01-01,10149,航空会社,1225
2020-01-01,16950,宿泊施設,24336
2020-01-01,10792,宿泊施設,12321
2020-01-02,17020,航空会社,22500
2020-01-02,12894,航空会社,21609
2020-01-02,17186,航空会社,11664
2020-01-02,13114,旅行代理店,2704
2020-01-02,13193,航空会社,1936
2020-01-02,13423,航空会社,53361
2020-01-02,11491,飲食店,95481
2020-01-02,11491,百貨店,62001
2020-01-02,12776,ETC,5476
2020-01-02,12776,宿泊施設,72361
2020-01-02,11863,ETC,51529
2020-01-02,11863,宿泊施設,59536
2020-01-02,16459,ETC,2809
2020-01-02,14834,ETC,76176
2020-01-02,14834,宿泊施設,36481
2020-01-02,16134,宿泊施設,42436
2020-01-02,16224,航空会社,26569
2020-01-02,16080,航空会社,32400
2020-01-02,18084,ETC,37636
2020-01-02,18084,宿泊施設,106929
2020-01-02,12562,航空会社,26569
2020-01-02,10696,宿泊施設,68644
2020-01-02,17952,飲食店,11881
2020-01-02,17952,百貨店,23716
2020-01-02,10076,飲食店,5929
2020-01-02,10076,百貨店,7921
2020-01-02,16311,航空会社,44944
2020-01-02,15387,ETC,19044
2020-01-02,18556,百貨店,33856
2020-01-02,11083,飲食店,64516
2020-01-02,11083,百貨店,11449
2020-01-02,13447,航空会社,11664
2020-01-02,16954,百貨店,71289
2020-01-02,11539,百貨店,15129
2020-01-02,17893,旅行代理店,108900
2020-01-02,13946,ETC,78961
2020-01-02,15671,航空会社,68121
2020-01-02,13490,百貨店,77284
2020-01-02,11748,航空会社,76729
2020-01-02,10102,百貨店,78400
2020-01-02,11886,宿泊施設,82369
2020-01-02,10274,ETC,16129
2020-01-02,13925,宿泊施設,57600
2020-01-02,18424,航空会社,41209
2020-01-02,16707,旅行代理店,78961
2020-01-02,12349,宿泊施設,57600
2020-01-02,11459,飲食店,17956
2020-01-02,16258,旅行代理店,5184
2020-01-02,15144,ETC,5329
2020-01-02,15144,宿泊施設,5184
2020-01-02,10442,飲食店,106929
2020-01-02,17530,宿泊施設,21025
2020-01-02,10134,航空会社,88209
2020-01-02,16362,航空会社,14641
2020-01-02,17565,宿泊施設,33856
2020-01-02,11345,宿泊施設,1936
2020-01-02,14552,宿泊施設,36481
2020-01-02,13402,航空会社,29929
2020-01-02,17989,飲食店,30276
2020-01-02,10786,ETC,29241
2020-01-02,10786,宿泊施設,76176
2020-01-02,15578,飲食店,52900
2020-01-02,15350,通信販売,54756
2020-01-02,18207,通信販売,33489
2020-01-02,10314,航空会社,49284
2020-01-02,11281,宿泊施設,38416
2020-01-02,16283,旅行代理店,66564
2020-01-02,12259,百貨店,5329
2020-01-02,18396,飲食店,46656
2020-01-02,18396,百貨店,60025
2020-01-02,11451,百貨店,56644
2020-01-02,11407,通信販売,2601
2020-01-02,18973,ETC,56644
2020-01-02,10073,航空会社,1936
2020-01-02,14174,航空会社,12100
2020-01-02,14594,通信販売,11236
2020-01-02,10128,ETC,12769
2020-01-02,10128,宿泊施設,90000
2020-01-02,18481,百貨店,25921
2020-01-02,18262,航空会社,88209
2020-01-02,17316,宿泊施設,78961
2020-01-02,11903,飲食店,27556
2020-01-02,13171,航空会社,69696
2020-01-02,11205,百貨店,11664
2020-01-02,11077,通信販売,4225
2020-01-02,12923,ETC,4489
2020-01-02,12923,宿泊施設,6084
2020-01-02,16705,百貨店,17424
2020-01-02,15358,飲食店,2304
2020-01-02,15358,百貨店,4096
2020-01-02,13321,飲食店,11449
2020-01-02,13321,百貨店,26896
2020-01-02,17917,航空会社,46225
2020-01-02,16450,ETC,76729
2020-01-02,16450,宿泊施設,2704
2020-01-02,15515,ETC,35344
2020-01-02,15515,宿泊施設,84681
2020-01-02,11497,ETC,59049
2020-01-02,11497,宿泊施設,108241
2020-01-02,14421,飲食店,55225
2020-01-02,14421,百貨店,2116
2020-01-02,10359,ETC,73441
2020-01-02,17560,飲食店,5041
2020-01-02,17560,百貨店,99856
2020-01-02,17054,百貨店,3249
2020-01-02,12394,飲食店,10404
2020-01-02,11492,ETC,69696
2020-01-02,10548,旅行代理店,4096
2020-01-02,15098,飲食店,6241
2020-01-02,15098,百貨店,69696
2020-01-02,17978,通信販売,33124
2020-01-02,17366,百貨店,31329
2020-01-02,18227,旅行代理店,1681
2020-01-02,12044,飲食店,67600
2020-01-02,12044,百貨店,54756
2020-01-02,10539,航空会社,43681
2020-01-02,15265,宿泊施設,85264
2020-01-02,16548,通信販売,28561
2020-01-02,11474,飲食店,22500
2020-01-02,11474,百貨店,87616
2020-01-02,15674,航空会社,54289
2020-01-02,11628,飲食店,34225
2020-01-02,11628,百貨店,45369
2020-01-02,10704,通信販売,5041
2020-01-03,11090,航空会社,28900
2020-01-03,12523,宿泊施設,6561
2020-01-03,16310,飲食店,51076
2020-01-03,10046,飲食店,3600
2020-01-03,10046,百貨店,47089
2020-01-03,18169,航空会社,3136
2020-01-03,18531,飲食店,99225
2020-01-03,18531,百貨店,17424
2020-01-03,16398,ETC,34969
2020-01-03,16398,宿泊施設,46225
2020-01-03,10932,ETC,82369
2020-01-03,12135,ETC,2401
2020-01-03,12029,航空会社,63001
2020-01-03,17203,旅行代理店,71824
2020-01-03,18067,宿泊施設,12769
2020-01-03,11402,旅行代理店,104329
2020-01-03,11649,航空会社,3136
2020-01-03,10621,飲食店,91204
2020-01-03,10621,百貨店,51076
2020-01-03,12302,ETC,3481
2020-01-03,17187,宿泊施設,2401
2020-01-03,14845,通信販売,46225
2020-01-03,16531,百貨店,94864
2020-01-03,11108,通信販売,59049
2020-01-03,17279,ETC,4096
2020-01-03,17279,宿泊施設,36864
2020-01-03,15113,ETC,92416
2020-01-03,15113,宿泊施設,33489
2020-01-03,14401,ETC,84100
2020-01-03,14401,宿泊施設,16384
2020-01-03,12356,ETC,40000
2020-01-03,12356,宿泊施設,32400
2020-01-03,11886,ETC,46225
2020-01-03,10410,百貨店,44944
2020-01-03,18747,航空会社,106929
2020-01-03,13812,飲食店,6561
2020-01-03,13812,百貨店,8100
2020-01-03,17542,ETC,33489
2020-01-03,17542,宿泊施設,16900
2020-01-03,10078,旅行代理店,30276
2020-01-03,16574,宿泊施設,76176
2020-01-03,15873,宿泊施設,63504
2020-01-03,11779,航空会社,108900
2020-01-03,10504,旅行代理店,10816
2020-01-03,18771,ETC,3481
2020-01-03,18771,宿泊施設,4225
2020-01-03,11445,旅行代理店,37636
2020-01-03,17751,通信販売,94249
2020-01-03,17153,旅行代理店,90000
2020-01-03,14943,旅行代理店,12996
2020-01-03,15988,航空会社,93025
2020-01-03,18553,ETC,24649
2020-01-03,18553,宿泊施設,85849
2020-01-03,11447,航空会社,47089
2020-01-03,14229,旅行代理店,65536
2020-01-03,17918,飲食店,8649
2020-01-03,10716,飲食店,88209
2020-01-03,10716,百貨店,36100
2020-01-03,13750,旅行代理店,1089
2020-01-03,15673,百貨店,1444
2020-01-03,12359,飲食店,29241
2020-01-03,16483,宿泊施設,61504
2020-01-03,17666,飲食店,12769
2020-01-03,17666,百貨店,34969
2020-01-03,14401,飲食店,73441
2020-01-03,14401,百貨店,40804
2020-01-03,16514,旅行代理店,4356
2020-01-03,15475,航空会社,106929
2020-01-03,10245,ETC,91809
