顧客番号,性別,居住地区,持ち家,年収,生年月日
20001,女性,世田谷区,あり,3600000,1979-10-24
20002,女性,目黒区,あり,6800000,1984-06-27
20003,女性,杉並区,あり,3700000,1996-05-07
20004,女性,目黒区,あり,6000000,1965-09-27
20005,女性,杉並区,あり,7400000,1980-06-03
20006,男性,品川区,あり,5800000,1984-07-08
20007,女性,品川区,なし,4600000,1992-09-07
20008,女性,杉並区,あり,2800000,1994-12-25
20009,女性,目黒区,あり,6300000,1981-12-27
20010,男性,品川区,あり,4400000,1997-10-13
20011,女性,世田谷区,なし,5400000,1982-10-11
20012,男性,世田谷区,あり,4800000,1979-02-05
20013,女性,品川区,あり,6000000,1999-02-27
20014,男性,目黒区,あり,4900000,1981-01-22
20015,男性,杉並区,なし,4000000,1958-01-19
20016,男性,目黒区,あり,6800000,1969-02-21
20017,女性,品川区,あり,4200000,1956-11-14
20018,男性,杉並区,あり,4400000,1985-05-05
20019,男性,杉並区,なし,3500000,1997-01-26
20020,男性,杉並区,あり,3000000,1991-04-11
20021,男性,目黒区,あり,8000000,1981-03-15
20022,女性,品川区,なし,6400000,1973-03-22
20023,女性,目黒区,なし,4800000,1989-04-10
20024,女性,目黒区,なし,7500000,1983-07-18
20025,男性,目黒区,なし,4000000,1988-03-12
20026,男性,品川区,なし,5500000,1971-04-23
20027,女性,目黒区,あり,4500000,1988-06-12
20028,男性,世田谷区,なし,4200000,1982-03-28
20029,男性,世田谷区,あり,3600000,1980-02-13
20030,女性,杉並区,あり,6400000,1971-03-01
20031,女性,杉並区,なし,5900000,1979-09-17
20032,男性,品川区,なし,4100000,1985-08-07
20033,女性,世田谷区,なし,4400000,1968-08-20
20034,女性,品川区,なし,7700000,1985-10-23
20035,男性,杉並区,なし,6400000,1963-09-01
20036,女性,杉並区,あり,7400000,1982-12-14
20037,女性,杉並区,あり,4300000,1981-02-20
20038,女性,品川区,あり,5800000,1984-08-16
20039,男性,世田谷区,なし,6100000,1984-01-24
20040,女性,目黒区,なし,6400000,1977-08-07
20041,女性,杉並区,あり,4700000,1989-07-08
20042,男性,世田谷区,あり,7100000,1975-12-15
20043,女性,品川区,あり,6600000,1969-04-05
20044,男性,世田谷区,あり,5700000,1973-03-28
20045,男性,目黒区,あり,4500000,1989-04-06
20046,男性,世田谷区,あり,5900000,1963-05-12
20047,女性,目黒区,なし,6100000,1979-04-25
20048,男性,品川区,あり,4900000,1991-02-08
20049,女性,杉並区,なし,7200000,1967-01-14
20050,男性,目黒区,あり,7400000,1974-11-13
20051,女性,目黒区,なし,5400000,1999-10-22
20052,男性,目黒区,なし,5800000,1985-06-20
20053,男性,品川区,あり,6300000,1984-09-22
20054,女性,世田谷区,なし,5500000,1971-04-28
20055,男性,目黒区,あり,4000000,1975-03-02
20056,男性,目黒区,なし,5000000,1997-04-28
20057,女性,目黒区,なし,6000000,1966-05-01
20058,女性,杉並区,なし,7400000,1974-12-13
20059,女性,世田谷区,なし,5000000,1956-12-27
20060,男性,杉並区,なし,5200000,1957-08-21
20061,女性,品川区,なし,8100000,1967-05-15
20062,女性,品川区,なし,7200000,1986-03-10
20063,男性,品川区,なし,6300000,1993-02-22
20064,女性,品川区,あり,4700000,1967-08-14
20065,男性,目黒区,あり,4700000,1972-09-24
20066,男性,目黒区,あり,7800000,1972-02-16
20067,女性,品川区,あり,7600000,1971-06-06
20068,男性,杉並区,なし,7100000,1965-09-09
20069,女性,杉並区,あり,5300000,1991-01-22
20070,女性,杉並区,なし,5400000,1975-05-01
20071,女性,目黒区,あり,2800000,1993-06-08
20072,男性,世田谷区,なし,8500000,1975-11-13
20073,男性,世田谷区,なし,4900000,1998-05-05
20074,女性,杉並区,なし,6700000,1984-06-26
20075,女性,目黒区,あり,7000000,1971-10-02
20076,男性,目黒区,あり,3600000,1986-03-23
20077,女性,杉並区,なし,5000000,1993-01-26
20078,女性,世田谷区,あり,6200000,1988-01-27
20079,男性,世田谷区,なし,5100000,1983-12-13
20080,女性,杉並区,なし,4400000,1983-07-14
20081,男性,目黒区,あり,7900000,1962-05-18
20082,男性,品川区,あり,7000000,1973-10-20
20083,男性,杉並区,あり,7100000,1974-11-21
20084,女性,品川区,なし,5700000,1995-06-17
20085,女性,品川区,なし,3900000,1986-02-14
20086,女性,品川区,あり,6600000,1967-01-12
20087,男性,品川区,あり,5600000,1984-03-17
20088,女性,世田谷区,なし,5700000,1973-03-25
20089,男性,杉並区,あり,4800000,2000-07-19
20090,男性,世田谷区,なし,5300000,1975-08-01
20091,男性,目黒区,あり,7100000,1983-03-01
20092,女性,品川区,あり,7200000,1968-02-26
20093,女性,目黒区,なし,3600000,1976-08-25
20094,男性,品川区,あり,6300000,1973-07-16
20095,女性,品川区,なし,7600000,1965-05-06
20096,男性,世田谷区,あり,3900000,1976-07-13
20097,男性,目黒区,あり,7300000,1970-09-13
20098,男性,杉並区,あり,4700000,1997-10-20
20099,男性,品川区,あり,6700000,1974-01-02
20100,男性,品川区,なし,3500000,1985-12-12
20101,男性,杉並区,あり,4700000,1997-08-08
20102,女性,杉並区,あり,4500000,1996-11-24
20103,女性,杉並区,なし,6700000,1983-09-18
20104,男性,目黒区,なし,6400000,1976-07-02
20105,男性,世田谷区,あり,4900000,1988-10-23
20106,女性,品川区,なし,7500000,1983-05-19
20107,男性,世田谷区,なし,8400000,1974-10-17
20108,女性,品川区,なし,2800000,1991-01-06
20109,男性,目黒区,あり,7200000,1983-01-14
20110,女性,世田谷区,なし,5900000,1989-09-17
20111,女性,品川区,あり,5800000,1956-01-04
20112,女性,目黒区,なし,4700000,1995-07-01
20113,女性,杉並区,なし,5600000,1974-09-08
20114,女性,世田谷区,なし,5100000,1988-04-16
20115,女性,世田谷区,あり,2600000,2001-10-22
20116,女性,世田谷区,なし,4300000,1964-04-06
20117,男性,世田谷区,なし,6400000,1974-10-19
20118,女性,杉並区,あり,6000000,1978-02-17
20119,男性,品川区,なし,3800000,1971-12-07
20120,女性,杉並区,なし,6900000,1968-01-11
20121,男性,品川区,なし,6800000,1971-03-05
20122,女性,世田谷区,あり,6700000,1973-05-26
20123,男性,品川区,なし,3400000,1984-11-10
20124,男性,目黒区,あり,3600000,1997-07-07
20125,女性,目黒区,あり,7100000,1987-10-07
20126,男性,世田谷区,あり,4900000,1979-03-16
20127,女性,品川区,なし,7800000,1981-08-24
20128,女性,品川区,あり,5100000,1999-12-19
20129,女性,目黒区,あり,6100000,1991-05-22
20130,女性,杉並区,あり,6300000,1987-07-09
20131,女性,目黒区,あり,6200000,1982-08-24
20132,男性,品川区,あり,5200000,1969-06-26
20133,男性,杉並区,なし,5400000,1996-01-15
20134,女性,杉並区,あり,8000000,1980-08-20
20135,男性,品川区,なし,5200000,1981-05-23
20136,男性,目黒区,なし,6100000,1998-01-11
20137,男性,品川区,あり,3500000,1963-10-26
20138,男性,杉並区,なし,4000000,1976-11-21
20139,女性,杉並区,なし,7700000,1963-06-07
20140,男性,杉並区,あり,5700000,1966-05-20
20141,女性,杉並区,あり,3000000,1993-09-03
20142,女性,目黒区,なし,2900000,1989-05-23
20143,男性,杉並区,あり,6100000,1988-11-06
20144,女性,杉並区,なし,4300000,1988-05-11
20145,女性,目黒区,あり,1900000,1997-08-25
20146,男性,杉並区,あり,4100000,1990-11-14
20147,男性,目黒区,あり,8500000,1964-02-02
20148,男性,世田谷区,なし,4200000,1972-09-02
20149,女性,世田谷区,なし,8500000,1977-01-16
20150,男性,杉並区,なし,6700000,1965-07-16
20151,女性,杉並区,なし,6300000,1976-07-23
20152,男性,杉並区,なし,6700000,1975-08-07
20153,女性,品川区,あり,6600000,1961-03-12
20154,男性,世田谷区,あり,5400000,1966-09-14
20155,男性,杉並区,なし,4500000,1991-08-05
20156,女性,世田谷区,なし,6900000,1976-06-27
20157,男性,杉並区,あり,6500000,1965-07-19
20158,女性,品川区,あり,4600000,1965-07-14
20159,女性,杉並区,あり,7500000,1991-09-09
20160,男性,品川区,あり,6000000,1960-03-04
20161,女性,目黒区,なし,4300000,2000-07-25
20162,男性,品川区,なし,3900000,1986-11-27
20163,男性,品川区,なし,2900000,1986-05-09
