顧客番号,性別,居住地区,持ち家,年収,生年月日
10001,女性,世田谷区,あり,3600000,1979-10-02
10002,女性,目黒区,あり,6800000,1984-04-17
10003,女性,杉並区,あり,3700000,1996-01-22
10004,女性,目黒区,あり,6000000,1965-09-06
10005,女性,杉並区,あり,7400000,1980-10-01
10006,男性,品川区,あり,5800000,1984-03-05
10007,女性,品川区,なし,4600000,1992-02-04
10008,女性,杉並区,あり,2800000,1994-04-06
10009,女性,目黒区,あり,6300000,1981-06-12
10010,男性,品川区,あり,4400000,1997-12-05
10011,女性,世田谷区,なし,5400000,1982-09-27
10012,男性,世田谷区,あり,4800000,1979-09-20
10013,女性,品川区,あり,6000000,1999-10-04
10014,男性,目黒区,あり,4900000,1981-07-06
10015,男性,杉並区,なし,4000000,1958-12-17
10016,男性,目黒区,あり,6800000,1969-03-20
10017,女性,品川区,あり,4200000,1956-09-15
10018,男性,杉並区,あり,4400000,1985-02-15
10019,男性,杉並区,なし,3500000,1997-06-24
10020,男性,杉並区,あり,3000000,1991-07-23
10021,男性,目黒区,あり,8000000,1981-01-04
10022,女性,品川区,なし,6400000,1973-03-14
10023,女性,目黒区,なし,4800000,1989-10-05
10024,女性,目黒区,なし,7500000,1983-12-08
10025,男性,目黒区,なし,4000000,1988-04-06
10026,男性,品川区,なし,5500000,1971-08-28
10027,女性,目黒区,あり,4500000,1988-12-22
10028,男性,世田谷区,なし,4200000,1982-01-01
10029,男性,世田谷区,あり,3600000,1980-03-15
10030,女性,杉並区,あり,6400000,1971-06-03
10031,女性,杉並区,なし,5900000,1979-09-06
10032,男性,品川区,なし,4100000,1985-03-17
10033,女性,世田谷区,なし,4400000,1968-10-11
10034,女性,品川区,なし,7700000,1985-10-03
10035,男性,杉並区,なし,6400000,1963-02-18
10036,女性,杉並区,あり,7400000,1982-12-16
10037,女性,杉並区,あり,4300000,1981-02-07
10038,女性,品川区,あり,5800000,1984-02-27
10039,男性,世田谷区,なし,6100000,1984-05-27
10040,女性,目黒区,なし,6400000,1977-01-04
10041,女性,杉並区,あり,4700000,1989-10-12
10042,男性,世田谷区,あり,7100000,1975-02-15
10043,女性,品川区,あり,6600000,1969-02-21
10044,男性,世田谷区,あり,5700000,1973-08-20
10045,男性,目黒区,あり,4500000,1989-02-07
10046,男性,世田谷区,あり,5900000,1963-11-25
10047,女性,目黒区,なし,6100000,1979-07-03
10048,男性,品川区,あり,4900000,1991-01-21
10049,女性,杉並区,なし,7200000,1967-02-12
